voc1,no2,eth,co,tag
1.6,2.66,1.23,2.94,coffee
1.6,2.65,1.23,2.93,coffee
1.59,2.65,1.23,2.92,coffee
1.58,2.64,1.22,2.91,coffee
1.58,2.63,1.23,2.89,coffee
1.57,2.63,1.22,2.88,coffee
1.57,2.63,1.22,2.87,coffee
1.56,2.62,1.22,2.86,coffee
1.56,2.63,1.22,2.85,coffee
1.56,2.63,1.22,2.86,coffee
1.56,2.63,1.23,2.86,coffee
1.56,2.64,1.23,2.87,coffee
1.56,2.65,1.23,2.88,coffee
1.56,2.65,1.23,2.89,coffee
1.56,2.66,1.23,2.9,coffee
1.56,2.66,1.23,2.9,coffee
1.56,2.66,1.24,2.9,coffee
1.56,2.66,1.23,2.9,coffee
1.56,2.66,1.24,2.9,coffee
1.56,2.66,1.24,2.89,coffee
1.56,2.66,1.24,2.89,coffee
1.55,2.66,1.24,2.9,coffee
1.56,2.66,1.24,2.9,coffee
1.56,2.66,1.24,2.91,coffee
1.56,2.67,1.24,2.92,coffee
1.56,2.67,1.24,2.92,coffee
1.57,2.67,1.24,2.93,coffee
1.57,2.67,1.24,2.93,coffee
1.57,2.68,1.25,2.93,coffee
1.57,2.68,1.25,2.93,coffee
1.57,2.67,1.25,2.93,coffee
1.57,2.67,1.25,2.93,coffee
1.57,2.67,1.24,2.94,coffee
1.58,2.67,1.25,2.94,coffee
1.58,2.67,1.25,2.95,coffee
1.58,2.67,1.25,2.95,coffee
1.58,2.68,1.25,2.96,coffee
1.59,2.68,1.25,2.96,coffee
1.59,2.68,1.25,2.97,coffee
1.59,2.69,1.25,2.98,coffee
1.59,2.69,1.25,2.98,coffee
1.6,2.69,1.25,2.98,coffee
1.59,2.7,1.25,2.97,coffee
1.59,2.7,1.26,2.97,coffee
1.59,2.7,1.26,2.97,coffee
1.59,2.7,1.25,2.96,coffee
1.58,2.69,1.26,2.95,coffee
1.58,2.69,1.25,2.94,coffee
1.58,2.68,1.25,2.94,coffee
1.57,2.68,1.25,2.93,coffee
1.57,2.67,1.25,2.92,coffee
1.57,2.67,1.25,2.92,coffee
1.57,2.67,1.25,2.92,coffee
1.57,2.67,1.25,2.92,coffee
1.57,2.67,1.25,2.92,coffee
1.57,2.66,1.25,2.92,coffee
1.57,2.66,1.25,2.91,coffee
1.57,2.66,1.25,2.9,coffee
1.56,2.66,1.25,2.9,coffee
1.56,2.66,1.25,2.89,coffee
1.56,2.65,1.25,2.88,coffee
1.56,2.65,1.24,2.88,coffee
1.56,2.65,1.24,2.88,coffee
1.56,2.65,1.25,2.89,coffee
1.56,2.65,1.24,2.89,coffee
1.56,2.65,1.24,2.9,coffee
1.56,2.65,1.25,2.9,coffee
1.56,2.65,1.25,2.9,coffee
1.56,2.65,1.24,2.89,coffee
1.55,2.64,1.24,2.88,coffee
1.55,2.63,1.24,2.87,coffee
1.54,2.63,1.23,2.85,coffee
1.54,2.62,1.23,2.83,coffee
1.54,2.62,1.23,2.83,coffee
1.53,2.63,1.24,2.83,coffee
1.54,2.64,1.24,2.83,coffee
1.54,2.64,1.24,2.84,coffee
1.54,2.65,1.24,2.85,coffee
1.54,2.65,1.24,2.87,coffee
1.55,2.66,1.24,2.87,coffee
1.55,2.66,1.24,2.87,coffee
1.54,2.65,1.24,2.86,coffee
1.54,2.64,1.24,2.83,coffee
1.53,2.63,1.23,2.82,coffee
1.52,2.61,1.22,2.79,coffee
1.52,2.59,1.21,2.77,coffee
1.51,2.57,1.2,2.75,coffee
1.51,2.55,1.2,2.73,coffee
1.5,2.54,1.19,2.72,coffee
1.49,2.54,1.19,2.71,coffee
1.49,2.55,1.2,2.71,coffee
1.49,2.56,1.2,2.72,coffee
1.5,2.58,1.2,2.73,coffee
1.5,2.6,1.21,2.75,coffee
1.5,2.61,1.21,2.77,coffee
1.51,2.63,1.22,2.79,coffee
1.52,2.64,1.22,2.82,coffee
1.52,2.65,1.22,2.84,coffee
1.53,2.66,1.23,2.87,coffee
1.54,2.67,1.23,2.88,coffee
1.54,2.68,1.23,2.89,coffee
1.36,2.72,0.87,3.25,coffee
1.36,2.71,0.87,3.25,coffee
1.37,2.72,0.87,3.25,coffee
1.36,2.72,0.87,3.25,coffee
1.36,2.72,0.87,3.24,coffee
1.36,2.72,0.87,3.25,coffee
1.36,2.72,0.87,3.25,coffee
1.37,2.71,0.87,3.25,coffee
1.37,2.72,0.87,3.25,coffee
1.37,2.71,0.87,3.25,coffee
1.37,2.72,0.87,3.25,coffee
1.36,2.71,0.87,3.25,coffee
1.37,2.72,0.87,3.25,coffee
1.36,2.71,0.87,3.25,coffee
1.37,2.72,0.87,3.25,coffee
1.37,2.72,0.87,3.25,coffee
1.37,2.72,0.87,3.25,coffee
1.37,2.72,0.87,3.25,coffee
1.37,2.72,0.87,3.26,coffee
1.36,2.72,0.87,3.25,coffee
1.37,2.72,0.87,3.25,coffee
1.37,2.71,0.87,3.25,coffee
1.37,2.72,0.87,3.26,coffee
1.37,2.72,0.87,3.25,coffee
1.37,2.72,0.87,3.25,coffee
1.37,2.71,0.87,3.25,coffee
1.37,2.71,0.87,3.25,coffee
1.37,2.72,0.87,3.25,coffee
1.37,2.72,0.87,3.25,coffee
1.37,2.72,0.87,3.25,coffee
1.37,2.71,0.87,3.25,coffee
1.37,2.71,0.87,3.25,coffee
1.38,2.71,0.87,3.25,coffee
1.37,2.72,0.87,3.25,coffee
1.38,2.72,0.87,3.25,coffee
1.37,2.72,0.87,3.25,coffee
1.37,2.72,0.87,3.25,coffee
1.38,2.71,0.87,3.25,coffee
