voc1,no2,eth,co,tag
1.17,1.09,1.04,0.78,background
1.18,1.09,1.04,0.78,background
1.17,1.09,1.04,0.78,background
1.18,1.09,1.04,0.78,background
1.17,1.09,1.04,0.79,background
1.17,1.09,1.05,0.78,background
1.17,1.09,1.04,0.78,background
1.17,1.09,1.04,0.78,background
1.17,1.1,1.05,0.78,background
1.17,1.1,1.05,0.78,background
1.17,1.1,1.04,0.79,background
1.17,1.1,1.05,0.78,background
1.17,1.1,1.05,0.78,background
1.17,1.1,1.05,0.79,background
1.17,1.09,1.05,0.78,background
1.17,1.09,1.05,0.78,background
1.17,1.09,1.05,0.78,background
1.17,1.09,1.05,0.79,background
1.17,1.09,1.05,0.78,background
1.17,1.1,1.05,0.78,background
1.17,1.1,1.05,0.78,background
1.17,1.1,1.05,0.78,background
1.17,1.1,1.05,0.78,background
1.17,1.1,1.05,0.78,background
1.17,1.1,1.05,0.79,background
1.17,1.1,1.05,0.78,background
1.17,1.1,1.04,0.78,background
1.17,1.1,1.04,0.79,background
1.17,1.1,1.05,0.78,background
1.17,1.11,1.05,0.78,background
1.18,1.11,1.05,0.78,background
1.18,1.11,1.05,0.79,background
1.18,1.11,1.05,0.79,background
1.18,1.1,1.05,0.78,background
1.18,1.11,1.05,0.78,background
1.18,1.1,1.04,0.79,background
1.18,1.11,1.05,0.79,background
1.18,1.11,1.04,0.79,background
1.18,1.1,1.04,0.79,background
1.18,1.11,1.04,0.79,background
1.18,1.11,1.04,0.79,background
1.18,1.1,1.04,0.79,background
1.18,1.1,1.04,0.79,background
1.18,1.1,1.04,0.79,background
1.18,1.1,1.04,0.79,background
1.19,1.09,1.04,0.79,background
1.18,1.09,1.04,0.79,background
1.18,1.09,1.03,0.79,background
1.18,1.09,1.04,0.79,background
1.19,1.09,1.04,0.79,background
1.18,1.09,1.04,0.78,background
1.18,1.09,1.03,0.79,background
1.19,1.09,1.03,0.79,background
1.18,1.09,1.03,0.79,background
1.18,1.09,1.03,0.79,background
1.18,1.09,1.03,0.79,background
1.18,1.09,1.03,0.79,background
1.18,1.09,1.04,0.78,background
1.18,1.1,1.03,0.79,background
1.18,1.09,1.03,0.79,background
1.18,1.09,1.04,0.78,background
1.18,1.1,1.03,0.79,background
1.18,1.09,1.03,0.78,background
1.18,1.09,1.03,0.78,background
1.18,1.09,1.03,0.79,background
1.18,1.09,1.04,0.78,background
1.18,1.09,1.03,0.78,background
1.18,1.09,1.03,0.79,background
1.18,1.09,1.04,0.79,background
1.18,1.09,1.03,0.79,background
1.18,1.09,1.04,0.79,background
1.18,1.1,1.03,0.79,background
1.18,1.1,1.04,0.78,background
1.18,1.1,1.04,0.79,background
1.18,1.1,1.04,0.78,background
1.18,1.1,1.04,0.79,background
1.18,1.1,1.04,0.79,background
1.18,1.1,1.04,0.78,background
1.18,1.1,1.04,0.78,background
1.17,1.11,1.04,0.79,background
1.18,1.1,1.04,0.79,background
1.18,1.11,1.04,0.79,background
1.18,1.11,1.04,0.78,background
1.18,1.1,1.04,0.79,background
1.18,1.1,1.04,0.79,background
1.18,1.1,1.04,0.79,background
1.18,1.1,1.04,0.78,background
1.18,1.1,1.04,0.79,background
1.19,1.1,1.04,0.79,background
1.18,1.1,1.04,0.79,background
1.18,1.1,1.05,0.79,background
1.18,1.1,1.04,0.78,background
1.18,1.11,1.04,0.79,background
1.19,1.11,1.05,0.78,background
1.19,1.11,1.05,0.79,background
1.18,1.11,1.05,0.79,background
1.19,1.11,1.04,0.79,background
1.18,1.11,1.04,0.79,background
1.19,1.11,1.04,0.79,background
1.19,1.11,1.04,0.79,background
1.19,1.11,1.04,0.79,background
1.18,1.11,1.04,0.79,background
1.19,1.1,1.04,0.79,background
1.19,1.11,1.05,0.79,background
1.19,1.1,1.04,0.79,background
1.19,1.1,1.04,0.79,background
1.19,1.1,1.05,0.79,background
